"Annee","jour","mois","Arneguy","Banca","Iraty","Sare","Urrugne","TotalJ"
2009,23,10,120,130,0,0,0,250
2009,24,10,337,516,0,259,0,1112
2009,25,10,141,149,0,0,0,290
2009,26,10,188000,153000,0,84500,5800,431300
2009,27,10,7180,23600,0,9350,458000,498130
2009,28,10,3680,13830,0,6020,388,23918
2009,29,10,16490,48410,0,5400,990,71290
2009,30,10,20970,13300,0,5400,1725,41395
2009,31,10,178,460,0,66,100,804
2009,1,11,960,1030,0,0,37330,39320
2009,2,11,0,0,0,0,0,0
2009,3,11,0,0,0,0,0,0
2009,4,11,0,0,0,0,0,0
2009,5,11,0,0,0,0,0,0
2009,6,11,0,180,0,0,0,180
2009,7,11,0,0,0,0,0,0
2009,8,11,0,0,0,0,0,0
2009,9,11,15450,5740,0,34440,7770,63400
2009,10,11,429,0,0,3720,5595,9744
2009,11,11,0,0,0,0,0,0
2010,15,10,0,0,0,6760,1100,7860
2010,16,10,80,508,0,2035,415,3038
2010,17,10,3400,10220,0,25785,5185,44590
2010,18,10,28950,15095,0,29000,25170,98215
2010,19,10,1287,3836,0,11068,7740,23931
2010,20,10,0,0,0,0,0,0
2010,21,10,45180,67860,0,128050,222000,463090
2010,22,10,17280,6780,0,1810,17490,43360
2010,23,10,410,59,0,82,35,586
2010,24,10,0,0,0,0,1,1
2010,25,10,0,0,0,2996,1,2997
2010,26,10,5430,21320,0,106245,99110,232105
2010,27,10,562,5450,0,51600,29500,87112
2010,28,10,1140,990,0,750,6900,9780
2010,29,10,0,0,0,0,526,526
2010,30,10,0,5,0,0,0,5
2010,31,10,0,0,0,0,3,3
2010,1,11,0,0,0,0,0,0
2010,2,11,132,960,0,2760,12,3864
2010,3,11,31,260,0,0,1,292
2010,4,11,164,2395,0,89,2035,4683
2010,5,11,0,0,0,0,2,2
2010,6,11,1038,56,0,0,80,1174
2010,7,11,0,0,0,0,0,0
2010,8,11,0,0,0,0,0,0
2010,9,11,0,0,0,0,80,80
